Line,Station,Latitude,Longitude,2010,2011,2012,2013,2014,2015,2014-2015,Percent Change (%)
L,Bedford Av,40.717793,-73.957519,"7,418,203","7,738,863","8,342,397","9,214,395","9,892,516","9,388,289","-504,227",-5.1
L,Lorimer St,40.714197,-73.949301,"4,394,498","4,479,022","4,643,512","5,040,719","5,090,344","5,238,736","148,392",2.9
L,1 Av,40.731438,-73.98217,"6,936,132","7,050,336","7,296,576","7,735,905","8,111,070","7,702,110","-408,960",-5
L,3 Av,40.733129,-73.987008,"2,060,364","2,048,408","2,182,023","2,310,062","2,473,561","2,386,533","-87,028",-3.5
L,Union Sq,40.735291,-73.991064,"34,730,692","34,927,178","34,639,575","35,309,414","35,677,468","35,320,623","-356,845",-1
L,6 Av,40.737527,-73.996986,"15,029,178","15,199,211","15,487,097","15,844,699","16,215,866","16,121,318","-94,548",-0.6
L,8 Av,40.739958,-74.002737,"11,795,495","12,415,290","13,044,037","13,903,211","14,340,856","14,763,727","422,871",2.9
G,Flushing Av,40.699625,-73.950198,"553,739","616,083","655,317","728,668","808,421","866,803","58,382",7.2
G,Broadway,40.705514,-73.95009,"941,243","995,856","1,023,397","1,071,877","1,124,407","1,313,362","188,955",16.8
G,Metropolitan Av,40.713777,-73.951743,"4,394,498","4,479,022","4,643,512","5,040,719","5,090,344","5,238,736","148,392",2.9
G,Nassau Av,40.723941,-73.950648,"2,126,804","2,396,169","2,479,649","2,653,526","2,760,220","2,916,005","155,785",5.6
G,Greenpoint Av,40.730153,-73.954124,"2,200,679","2,490,286","2,521,422","2,543,568","2,428,027","2,902,723","474,696",19.6
G,21 St,40.74477,-73.948674,"319,984","364,597","469,173","422,616","427,353","533,529","106,176",24.8
G,Court Sq,40.746558,-73.943835,"7,249,807","6,334,869","5,340,581","6,072,768","6,664,442","6,730,837","66,395",1
M,Lorimer St,40.703904,-73.947666,,"1,470,761","1,494,085","1,523,986","1,500,980","1,614,154","113,174",7.5
M,Hewes St,40.707255,-73.954339,"785,545","848,377","895,661","927,212","903,641","981,379","77,738",8.6
M,Marcy Av,40.708556,-73.957922,"3,276,009","3,609,981","3,564,065","3,681,903","3,953,628","4,204,877","251,249",6.4
M,Essex St,40.718428,-73.987191,"6,745,791","7,172,867","7,280,936","7,759,914","7,909,365","8,226,975","317,610",4
M,Broadway-Lafayette,40.725324,-73.995495,"11,062,580","11,651,990","11,792,114","12,560,629","12,913,327","12,666,868","-246,459",1.9
M,West 4,40.731113,-74.001224,"12,295,023","12,506,322","12,727,443","13,533,369","13,942,101","14,147,148","205,047",1.5
M14,,,,"11,774,788","11,420,151","11,513,959","11,606,357","10,908,109","10,512,776","-395,333",-3.6
B39,,,,"167,489",0,0,"101,171","103,831","81,627","-22,204",-21.4